subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103672,I,0.952,2.674,1,85151,DE-F-O-2-T-D,96,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103723,I,0.984,3.775,1,85202,UE-E-P-9-T-U,97,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103656,I,0.168,3.789,1,85135,UE-E-O-2-T-D,98,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103677,I,0.146,4.715,1,85156,DE-F-O-7-T-U,99,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103733,I,0.634,10.354,1,85212,NM-Ex-P-11-T-U,100,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103630,I,0.2,3.257,1,85109,DE-F-N-12-T-U,101,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103663,I,0.14,7.368,1,85142,NM-Ex-O-5-T-D,102,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103633,I,0.968,3.076,1,85112,DE-N-N-3-T-D,103,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103745,I,0.372,4.605,1,85224,NM-On-P-11-T-D,104,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103751,I,0.288,7.599,1,85230,UE-P-P-9-T-D,105,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103680,I,0.242,5.573,1,85159,UE-M-O-2-T-D,106,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103694,I,0.162,6.14,1,85173,DE-N-O-4-T-U,107,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103618,I,0.222,7.004,1,85097,NM-Ex-N-12-T-D,108,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103706,I,0.25,3.691,1,85185,NM-On-O-4-T-D,109,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103722,I,0.168,4.406,1,85201,UE-E-P-8-T-D,110,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103721,I,0.224,4.194,1,85200,UE-E-P-11-T-D,111,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103710,I,0.45,6.019,1,85189,NM-On-O-4-T-U,112,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103681,I,0.32,5.451,1,85160,UE-M-O-7-T-D,113,6606,target,2
